"","i","j","time","distance"
"10000_10000","10000","10000",11.1283333333333,3.3086
"10001_10001","10001","10000",24.3066666666667,11.5687
"10002_10002","10002","10000",42.94,26.7191
"10003_10003","10003","10000",58.655,40.2502
"10004_10004","10004","10000",47.7166666666667,19.9614
"10005_10005","10005","10000",45.9366666666667,27.4302
"10006_10006","10006","10000",44.0033333333333,33.7683
"10007_10007","10007","10000",50.3816666666667,30.2381
"10008_10008","10008","10000",52.635,33.7887
"10009_10009","10009","10000",43.6516666666667,26.3946
"10010_10010","10010","10000",50.5566666666667,35.3346
"10011_10011","10011","10000",51.6166666666667,20.6086
"10012_10012","10012","10000",42.4683333333333,30.8499
"10013_10013","10013","10000",50.5766666666667,19.76
"10014_10014","10014","10000",51.535,20.765
"10015_10015","10015","10000",47.0166666666667,23.0465
"10016_10016","10016","10000",46.295,20.5921
"10017_10017","10017","10000",44.325,27.6993
"10018_10018","10018","10000",46.6333333333333,20.0089
"10019_10019","10019","10000",41.4166666666667,26.1033
"10020_10020","10020","10000",24.735,10.7908
"10021_10021","10021","10000",45.8666666666667,19.476
"10022_10022","10022","10000",48.1566666666667,29.3312
"10023_10023","10023","10000",55.835,29.301
"10024_10024","10024","10000",52.4266666666667,20.6188
"10025_10025","10025","10000",52.4266666666667,20.6188
"10026_10026","10026","10000",48.2566666666667,19.9799
"10027_10027","10027","10000",60.7166666666667,39.6215
"10028_10028","10028","10000",52.4266666666667,20.6188
"10029_10029","10029","10000",50.4133333333333,30.6325
"10030_10030","10030","10000",47.5716666666667,20.9834
"10031_10031","10031","10000",40.3316666666667,19.1611
"10032_10032","10032","10000",45.3683333333333,27.1991
"10033_10033","10033","10000",49.7483333333333,39.054
"10034_10034","10034","10000",37.1366666666667,18.0825
"10035_10035","10035","10000",46.3566666666667,22.2546
"10036_10036","10036","10000",58.8133333333333,39.189
"10037_10037","10037","10000",43.3783333333333,20.6661
"10038_10038","10038","10000",56.3066666666667,31.0925
"10039_10039","10039","10000",38.595,15.7344
"10040_10040","10040","10000",40.7133333333333,19.4628
"10041_10041","10041","10000",50.91,20.3909
"10042_10042","10042","10000",58.8633333333333,41.7524
"10043_10043","10043","10000",11.8116666666667,2.9001
"10044_10044","10044","10000",44.1566666666667,21.3665
"10045_10045","10045","10000",46.225,19.7564
"10046_10046","10046","10000",39.9433333333333,18.5716
"10047_10047","10047","10000",38.2,25.0431
"10048_10048","10048","10000",41.9983333333333,19.6386
"10049_10049","10049","10000",55.0816666666667,30.8836
"10050_10050","10050","10000",49.8466666666667,22.5266
"10051_10051","10051","10000",51.16,39.3505
"10052_10052","10052","10000",49.7566666666667,21.1133
"10053_10053","10053","10000",48.0783333333333,19.7007
"10054_10054","10054","10000",55.6633333333333,29.4565
"10055_10055","10055","10000",52.85,31.0808
"10056_10056","10056","10000",52.9883333333333,30.3078
"10057_10057","10057","10000",41.455,19.5009
"10058_10058","10058","10000",58.095,38.9754
"10059_10059","10059","10000",60.2733333333333,40.6895
"10060_10060","10060","10000",53.7183333333333,21.5092
"10061_10061","10061","10000",53.7183333333333,21.5092
"10062_10062","10062","10000",43.255,21.5907
"10063_10063","10063","10000",38.9833333333333,18.5426
"10064_10064","10064","10000",47.135,22.868
"10065_10065","10065","10000",50.1683333333333,22.8236
"10066_10066","10066","10000",47.0783333333333,27.2805
"10067_10067","10067","10000",61.6816666666667,42.6558
"10068_10068","10068","10000",42.3533333333333,19.4369
"10069_10069","10069","10000",47.2616666666667,22.0573
"10070_10070","10070","10000",51.4766666666667,19.8443
"10071_10071","10071","10000",49.1433333333333,28.4019
"10072_10072","10072","10000",60.435,40.5345
"10073_10073","10073","10000",59.9516666666667,39.3678
"10074_10074","10074","10000",46.4616666666667,20.3048
"10075_10075","10075","10000",55.785,31.0417
"10076_10076","10076","10000",42.4933333333333,26.0665
"10077_10077","10077","10000",47.875,29.5091
"10078_10078","10078","10000",46.3316666666667,20.0553
"10079_10079","10079","10000",37,16.1143
"10080_10080","10080","10000",49.0733333333333,30.799
"10081_10081","10081","10000",42.5066666666667,18.524
"10082_10082","10082","10000",49.98,23.1823
"10083_10083","10083","10000",53.9166666666667,30.491
"10084_10084","10084","10000",49.98,23.1823
"10085_10085","10085","10000",47.8266666666667,22.4501
"10086_10086","10086","10000",51.745,23.4011
"10087_10087","10087","10000",43.0766666666667,19.7607
"10088_10088","10088","10000",35.2983333333333,11.0956
"10089_10089","10089","10000",42.3416666666667,27.0718
"10090_10090","10090","10000",53.26,29.8618
"10091_10091","10091","10000",46.9883333333333,19.9479
"10092_10092","10092","10000",42.3416666666667,27.0718
"10093_10093","10093","10000",57.635,47.0032
"10094_10094","10094","10000",58.9516666666667,40.3521
"10095_10095","10095","10000",45.8433333333333,19.375
"10096_10096","10096","10000",45.9,20.912
"10097_10097","10097","10000",57.7366666666667,29.43
"10098_10098","10098","10000",53.1633333333333,28.318
